id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
388817,Bright Double bedroom in house ,Hounslow,51.48790278,-0.270378034,Private room,65,1,11,1,343
529790,Riverside room Nr Kew Lon & LHR,Hounslow,51.4880801,-0.294971767,Private room,50,2,30,1,242
5644565,Suite with bathroom ,Hounslow,51.47030869,-0.324321835,Private room,65,7,1,2,84
4029703,Attractive quiet double bedroom ,Hounslow,51.4888367,-0.271165056,Private room,60,1,41,1,293
3599704,Airy 2BD nestled in heritage garden,Hounslow,51.48628263,-0.258315832,Entire home/apt,125,3,8,1,293
7783328,Double Room West London,Hounslow,51.46725769,-0.356500217,Private room,50,2,0,1,313
4635446,Room in safe riverside development,Hounslow,51.4847816,-0.302910788,Private room,35,1,0,1,260
6525544,Couch surfing in Chiswick London,Hounslow,51.48915586,-0.286036613,Shared room,20,3,5,1,328
992758,The Muse Haus 1 (Parents Bedroom),Hounslow,51.49280604,-0.261799676,Private room,54,1,121,2,338
4055211,Cosy double bedroom & own bathroom,Hounslow,51.46506606,-0.325648389,Private room,50,2,0,1,303
6076085,COSY DOUBLE ROOM IN CHISWICK,Hounslow,51.48322186,-0.271020659,Private room,45,1,1,1,111
904835,Private Studio Flat - London TW3 2,Hounslow,51.45996835,-0.361351055,Entire home/apt,65,1,0,1,0
4466921,LUXURY LONDON HOLIDAY HOUSE WEST  ,Hounslow,51.48309308,-0.269880021,Entire home/apt,230,3,4,1,331
8051082,4 Bed House by Twickenham Stadium,Hounslow,51.45935789,-0.361076801,Entire home/apt,150,4,0,1,365
7723361,Bedroom with en-suite shower room,Hounslow,51.47514298,-0.35245781,Private room,55,1,0,1,365
8182073,"Light, bright, comfy double room.",Hounslow,51.48660359,-0.309830426,Private room,40,1,0,1,359
5876828,"Private apartment, 1 min to station",Hounslow,51.48779111,-0.310415089,Entire home/apt,89,1,15,3,251
1538293,Private room in West London,Hounslow,51.49144653,-0.308256829,Private room,40,2,2,1,305
7787727,Small double bedroom.,Hounslow,51.46335107,-0.327738346,Private room,25,1,0,1,363
5679760,3 bed cozy Location /Rugby WorldCup,Hounslow,51.45791341,-0.339438976,Entire home/apt,300,5,0,1,189
1354331,Chic apartment in Chiswick Village,Hounslow,51.49246196,-0.251801168,Entire home/apt,165,4,13,1,244
698606,"Double-deluxe, private bathroom, W4",Hounslow,51.49350483,-0.262384758,Private room,55,3,105,1,82
7994093,Nice Room with a single bed,Hounslow,51.44116664,-0.419695985,Private room,22,1,0,1,0
1467957,A double bedroom in a Victorian Hse,Hounslow,51.46225839,-0.367651673,Private room,36,3,4,1,336
7569335,Modern easy-living apartment,Hounslow,51.48823878,-0.294120713,Entire home/apt,85,1,0,1,11
7629338,Lovely double room in Chiswick!,Hounslow,51.48659938,-0.257383324,Private room,45,1,3,1,363
5998533,JM double bedroom,Hounslow,51.49459896,-0.296759334,Private room,45,1,9,3,357
5401004,1 Bed Studio 30min Centre London,Hounslow,51.45846195,-0.360186402,Entire home/apt,45,2,2,3,315
7767810,Penthouse Brentford (River Side),Hounslow,51.48457226,-0.302997327,Shared room,45,1,0,1,306
7945283,Artist's colourful garden flat,Hounslow,51.47160616,-0.337048538,Entire home/apt,130,7,0,1,138
2248873,Ace Space in Classy Chiswick,Hounslow,51.48733941,-0.262737681,Private room,45,2,17,1,346
4275000,Cottage for rent in Chiswick,Hounslow,51.49366409,-0.268425451,Entire home/apt,120,1,0,1,244
7092814,Beautiful + Spacious 2 bedroom flat,Hounslow,51.49525884,-0.248406915,Entire home/apt,135,1,0,1,20
5983286,"1BD + bath, furnished, next to tube",Hounslow,51.49222364,-0.273730885,Private room,45,3,8,1,153
6070056,"Modern penthouse, balcony city view",Hounslow,51.49127856,-0.298598059,Entire home/apt,60,3,2,1,133
